"","Var1","Freq"
"1","us army",37
"2","bank of america",23
"3","walmart",19
"4","ups",16
"5","at&t",15
"6","verizon wireless",12
"7","self employed",9
"8","us postal service",9
"9","usps",9
"10","ibm",8
"11","united states postal service",8
"12","home depot",7
"13","kaiser permanente",7
"14","retired",7
"15","self",7
"16","self-employed",7
"17","walgreens",7
"18","wells fargo",7
"19","department of defense",6
"20","jp morgan chase",6
"21","target",6
"22","american airlines",5
"23","northrop grumman",5
"24","us air force",5
"25","usmc",5
"26","wal-mart",5
"27","best buy",4
"28","comcast",4
"29","internal revenue service",4
"30","lowes",4
"31","macys",4
"32","morgan stanley",4
"33","sprint",4
"34","starbucks",4
"35","state of california",4
"36","united parcel service",4
"37","united states air force",4
"38","united states marine corps",4
"39","us bank",4
"40","verizon",4
"41","booz allen hamilton",3
"42","cablevision",3
"43","costco",3
"44","csc",3
"45","department of veterans affairs",3
"46","level 3 communications",3
"47","macy's",3
"48","marriott international",3
"49","microsoft",3
"50","military",3
"51","navy",3
"52","outback steakhouse",3
"53","state of michigan",3
"54","union bank",3
"55","united states navy",3
"56","wells fargo bank",3
